Elapsed Time,Heart Rate PulseOx1,PPG PulseOx1,SpO2 PulseOx1,BioRadio Event
00:27.4,83,78.02120972,96,0
00:27.4,83,78.02120972,96,0
00:27.4,83,78.02120972,96,0
00:27.5,83,78.04806519,96,0
00:27.5,83,78.04806519,96,0
00:27.5,83,78.04806519,96,0
00:27.5,83,78.06759644,96,0
00:27.5,83,78.06759644,96,0
00:27.5,83,78.06759644,96,0
00:27.5,83,78.06759644,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.08224487,96,0
00:27.5,83,78.08224487,96,0
00:27.5,83,78.08224487,96,0
00:27.5,83,78.08224487,96,0
00:27.5,83,78.07492065,96,0
00:27.5,83,78.07492065,96,0
00:27.5,83,78.07492065,96,0
00:27.5,83,78.06515503,96,0
00:27.5,83,78.06515503,96,0
00:27.5,83,78.06515503,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.07736206,96,0
00:27.5,83,78.15792847,96,0
00:27.5,83,78.15792847,96,0
00:27.6,83,78.15792847,96,0
00:27.6,83,78.15792847,96,0
00:27.6,83,78.38498688,96,0
00:27.6,83,78.38498688,96,0
00:27.6,83,78.38498688,96,0
00:27.6,83,78.87327576,96,0
00:27.6,83,78.87327576,96,0
00:27.6,83,78.87327576,96,0
00:27.6,83,78.87327576,96,0
00:27.6,83,79.6984787,96,0
00:27.6,83,79.6984787,96,0
00:27.6,83,79.6984787,96,0
00:27.6,83,80.88014221,96,0
00:27.6,83,80.88014221,96,0
00:27.6,83,80.88014221,96,0
00:27.6,83,82.34012604,96,0
00:27.6,83,82.34012604,96,0
00:27.6,83,82.34012604,96,0
00:27.6,83,83.90997314,96,0
00:27.6,83,83.90997314,96,0
00:27.6,83,83.90997314,96,0
00:27.6,83,83.90997314,96,0
00:27.6,83,85.36995697,96,0
00:27.6,83,85.36995697,96,0
00:27.6,83,85.36995697,96,0
00:27.7,83,86.51987457,96,0
00:27.7,83,86.51987457,96,0
00:27.7,83,86.51987457,96,0
00:27.7,83,86.51987457,96,0
00:27.7,83,87.22789001,96,0
00:27.7,83,87.22789001,96,0
00:27.7,83,87.22789001,96,0
00:27.7,83,87.45006561,96,0
00:27.7,83,87.45006561,96,0
00:27.7,83,87.45006561,96,0
00:27.7,83,87.23521423,96,0
00:27.7,83,87.23521423,96,0
00:27.7,83,87.23521423,96,0
00:27.7,83,86.67124176,96,0
00:27.7,83,86.67124176,96,0
00:27.7,83,86.67124176,96,0
00:27.7,83,86.67124176,96,0
00:27.7,83,85.86312866,96,0
00:27.7,83,85.86312866,96,0
00:27.7,83,85.86312866,96,0
00:27.7,83,84.90608215,96,0
00:27.7,83,84.90608215,96,0
00:27.7,83,84.90608215,96,0
00:27.7,83,84.90608215,96,0
00:27.7,83,83.88555908,96,0
00:27.8,83,83.88555908,96,0
00:27.8,83,83.88555908,96,0
00:27.8,83,82.86503601,96,0
00:27.8,83,82.86503601,96,0
00:27.8,83,82.86503601,96,0
00:27.8,83,81.89822388,96,0
00:27.8,83,81.89822388,96,0
00:27.8,83,81.89822388,96,0
00:27.8,83,81.02418518,96,0
